epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.7060622788988211,0.5226586102719033,0.504716266383817,0.725657656968358,0.46987951807228917,0.4466666666666667
2,0.7035423627072591,0.5045317220543807,0.501212878565128,0.7224767761058118,0.4819277108433735,0.4427790788446526
3,0.7093363047726565,0.5015105740181269,0.5014923738327993,0.7332501935671611,0.4578313253012048,0.4168618266978923
4,0.6986641363434921,0.5196374622356495,0.5182126935012863,0.728736371879118,0.4578313253012048,0.4369063772048847
5,0.6991952504636297,0.525679758308157,0.525679758308157,0.7198390106120741,0.4939759036144578,0.45936724565756826
6,0.6948312432744351,0.5105740181268882,0.4956166754458575,0.6997567056173302,0.5421686746987951,0.5267106842737095
7,0.6994022633373917,0.5226586102719033,0.5219211642533275,0.7069363974663149,0.5542168674698795,0.5057138258490262
8,0.7007484495459727,0.5196374622356495,0.5190052734035845,0.7005031274025699,0.5421686746987951,0.5306547619047619
9,0.7031524793619116,0.5226586102719033,0.5216763005780347,0.7317069567829729,0.5301204819277109,0.5257142857142857
10,0.6938365309800266,0.48338368580060426,0.4821737340469329,0.7335451934711043,0.4939759036144578,0.4768907563025211
