epoch,train_loss,train_acc,val_loss,val_acc
0,0.4983525052666664,0.8666666666666667,0.49732515811920164,0.8
1,0.13294351721803346,0.9666666666666667,0.8196014404296875,0.6
2,0.0575403722623984,1.0,0.8577160865068436,0.5
3,0.04559348945816358,1.0,0.9926526144146919,0.5
4,0.030427624533573786,1.0,1.0342464208602906,0.5
5,0.02531119758884112,1.0,0.9080820083618164,0.5
6,0.08686784623811643,0.9666666666666667,0.6380596041679383,0.6
7,0.06553606372326612,0.9666666666666667,0.9517783932387829,0.6
8,0.007436371004829804,1.0,1.1668741106987,0.6
9,0.4260130517184734,0.9,1.2099674344062805,0.5
