epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.6261246421507427,0.6357142857142857,0.46233927596528546,0.6144560183797564,0.7214285714285714,0.5176252319109462
2,0.6042025153126035,0.7285714285714285,0.43398233854665397,0.5966631046363285,0.7428571428571429,0.5617391304347825
3,0.6091959412608828,0.7142857142857143,0.4342148468086181,0.6103549804006304,0.7,0.411764705882353
4,0.6039339993681226,0.7232142857142857,0.4319334550618787,0.6486703719411577,0.6928571428571428,0.45027851337777375
5,0.6096956495727811,0.7285714285714285,0.4214876033057851,0.5839123444897788,0.7285714285714285,0.44583333333333336
6,0.5990525696958814,0.7160714285714286,0.4291978383368271,0.585939462695803,0.7214285714285714,0.4190871369294606
7,0.6028171850102289,0.7232142857142857,0.42589175281597447,0.5809271233422416,0.7214285714285714,0.4190871369294606
8,0.5888532664094652,0.7285714285714285,0.43398233854665397,0.575025406054088,0.7285714285714285,0.4214876033057851
9,0.5894660532474518,0.7196428571428571,0.4363777397413953,0.5779691049030848,0.7214285714285714,0.4190871369294606
10,0.5950978896447591,0.7267857142857143,0.420889348500517,0.5816035066332136,0.7214285714285714,0.4190871369294606
